time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1590192506.60001802,0.00851210,0.00313684,0.00000427,60265.00000000,0.01253464,0.000000,0.000000
1590192506.70033789,0.00851300,0.00304696,0.00000404,60290.00000000,0.01212889,0.000000,0.000000
1590192506.80017781,0.00851354,0.00259244,0.00000399,60314.00000000,0.01065963,0.000000,0.000000
1590192506.90001798,0.00851437,0.00314836,0.00000394,60349.00000000,0.01182937,0.000000,0.000000
1590192507.00035501,0.00851569,0.00326845,0.00000520,60277.00000000,0.01375513,0.000000,0.000000
1590192507.10019517,0.00851676,0.00361206,0.00000409,60305.00000000,0.01280060,0.000000,0.000000
1590192507.20003510,0.00851761,0.00310974,0.00000426,60335.00000000,0.01193501,0.000000,0.000000
1590192507.30035496,0.00851833,0.00340245,0.00000375,60362.00000000,0.01136697,0.000000,0.000000
1590192507.40019512,0.00851893,0.00349031,0.00000343,60382.00000000,0.01094588,0.000000,0.000000
1590192507.50003505,0.00852000,0.00374264,0.00000414,60402.00000000,0.01278941,0.000000,0.000000
1590192507.60035515,0.00852150,0.00348880,0.00000488,60435.00000000,0.01451552,0.000000,0.000000
1590192507.70019507,0.00852296,0.00337201,0.00000508,60464.00000000,0.01434807,0.000000,0.000000
1590192507.80003500,0.00852411,0.00322949,0.00000504,60475.00000000,0.01312420,0.000000,0.000000
1590192507.90035510,0.00852497,0.00212315,0.00000459,60507.00000000,0.01199218,0.000000,0.000000
1590192508.00021195,0.00852603,0.00282498,0.00000437,60526.00000000,0.01275003,0.000000,0.000000
1590192508.10005188,0.00852651,0.00261526,0.00000380,60558.00000000,0.01043123,0.000000,0.000000
1590192508.20037198,0.00852732,0.00353064,0.00000365,60575.00000000,0.01180449,0.000000,0.000000
1590192508.30021191,0.00852851,0.00309334,0.00000430,60582.00000000,0.01327075,0.000000,0.000000
1590192508.40005207,0.00852988,0.00350188,0.00000493,60576.00000000,0.01403838,0.000000,0.000000
1590192508.50037193,0.00853086,0.00357953,0.00000382,60592.00000000,0.01245563,0.000000,0.000000
1590192508.60021186,0.00853180,0.00328831,0.00000379,60608.00000000,0.01228892,0.000000,0.000000
1590192508.70005202,0.00853327,0.00380111,0.00000502,60579.00000000,0.01441634,0.000000,0.000000
1590192508.80037189,0.00853475,0.00430381,0.00000488,60600.00000000,0.01449761,0.000000,0.000000
1590192508.90021205,0.00853522,0.00267381,0.00000355,60610.00000000,0.01041815,0.000000,0.000000
1590192509.00006890,0.00853593,0.00290001,0.00000375,60620.00000000,0.01137134,0.000000,0.000000
1590192509.10038877,0.00853671,0.00330680,0.00000396,60656.00000000,0.01166739,0.000000,0.000000
1590192509.20022893,0.00853745,0.00317349,0.00000376,60682.00000000,0.01151225,0.000000,0.000000
1590192509.30006886,0.00853823,0.00287216,0.00000401,60681.00000000,0.01167290,0.000000,0.000000
1590192509.40038896,0.00854218,0.00308035,0.00000460,60681.00000000,0.02437638,0.000000,0.000000
1590192509.50022888,0.00854343,0.00441485,0.00000406,60703.00000000,0.01360094,0.000000,0.000000
1590192509.60006881,0.00854445,0.00357784,0.00000395,60719.00000000,0.01262537,0.000000,0.000000
1590192509.70038891,0.00854580,0.00355018,0.00000486,60746.00000000,0.01397634,0.000000,0.000000
1590192509.80022883,0.00854714,0.00338011,0.00000497,60779.00000000,0.01391987,0.000000,0.000000
1590192509.90006876,0.00854901,0.00390603,0.00000542,60810.00000000,0.01607379,0.000000,0.000000
1590192510.00040579,0.00855041,0.00340957,0.00000524,60830.00000000,0.01417087,0.000000,0.000000
1590192510.10024571,0.00855152,0.00295333,0.00000506,60807.00000000,0.01304597,0.000000,0.000000
1590192510.20008588,0.00855231,0.00367422,0.00000364,60776.00000000,0.01172590,0.000000,0.000000
1590192510.30040574,0.00855346,0.00354655,0.00000431,60765.00000000,0.01316752,0.000000,0.000000
1590192510.40024567,0.00855452,0.00351093,0.00000412,60778.00000000,0.01280791,0.000000,0.000000
1590192510.50008583,0.00855536,0.00370503,0.00000363,60795.00000000,0.01193924,0.000000,0.000000
1590192510.60040569,0.00855632,0.00342471,0.00000429,60816.00000000,0.01245357,0.000000,0.000000
1590192510.70024586,0.00855739,0.00320856,0.00000453,60846.00000000,0.01283460,0.000000,0.000000
1590192510.80008578,0.00855801,0.00308257,0.00000359,60861.00000000,0.01106007,0.000000,0.000000
1590192510.90040565,0.00855935,0.00291431,0.00000495,60869.00000000,0.01399621,0.000000,0.000000
1590192511.00026274,0.00856093,0.00387455,0.00000519,60868.00000000,0.01491289,0.000000,0.000000
1590192511.10010266,0.00856207,0.00310632,0.00000481,60873.00000000,0.01316754,0.000000,0.000000
1590192511.20042276,0.00856298,0.00292695,0.00000435,60886.00000000,0.01224202,0.000000,0.000000
1590192511.30026269,0.00856378,0.00330252,0.00000389,60921.00000000,0.01179048,0.000000,0.000000
1590192511.40010262,0.00856462,0.00274205,0.00000423,60930.00000000,0.01192695,0.000000,0.000000
1590192511.50042272,0.00856533,0.00294519,0.00000377,60948.00000000,0.01144258,0.000000,0.000000
1590192511.60026264,0.00856620,0.00270648,0.00000450,60930.00000000,0.01210010,0.000000,0.000000
1590192511.70010257,0.00856704,0.00290912,0.00000423,60949.00000000,0.01193457,0.000000,0.000000
1590192511.80042267,0.00856801,0.00259824,0.00000481,60957.00000000,0.01249822,0.000000,0.000000
1590192511.90026259,0.00856876,0.00311055,0.00000414,60978.00000000,0.01160509,0.000000,0.000000
1590192512.00011945,0.00856934,0.00225061,0.00000447,60997.00000000,0.01091124,0.000000,0.000000
1590192512.10043955,0.00857096,0.00424877,0.00000514,61022.00000000,0.01512104,0.000000,0.000000
1590192512.20027947,0.00857237,0.00487220,0.00000420,61038.00000000,0.01425784,0.000000,0.000000
1590192512.30011964,0.00857317,0.00353115,0.00000390,61051.00000000,0.01182018,0.000000,0.000000
1590192512.40043950,0.00857414,0.00356374,0.00000390,61069.00000000,0.01250470,0.000000,0.000000
1590192512.50027966,0.00857490,0.00359903,0.00000364,61088.00000000,0.01165469,0.000000,0.000000
1590192512.60011959,0.00857602,0.00403911,0.00000399,61072.00000000,0.01309242,0.000000,0.000000
1590192512.70043945,0.00857897,0.00325166,0.00000502,61088.00000000,0.02054009,0.000000,0.000000
1590192512.80027962,0.00858042,0.00317586,0.00000555,61112.00000000,0.01445412,0.000000,0.000000
1590192512.90011954,0.00858211,0.00488265,0.00000469,61127.00000000,0.01543217,0.000000,0.000000
1590192513.00045633,0.00858321,0.00360346,0.00000464,61126.00000000,0.01302924,0.000000,0.000000
1590192513.10029650,0.00858409,0.00330865,0.00000444,61150.00000000,0.01215921,0.000000,0.000000
1590192513.20013642,0.00858524,0.00334108,0.00000492,61178.00000000,0.01322841,0.000000,0.000000
1590192513.30045652,0.00858666,0.00410782,0.00000490,61189.00000000,0.01434381,0.000000,0.000000
1590192513.40029645,0.00858790,0.00305635,0.00000475,61202.00000000,0.01361476,0.000000,0.000000
1590192513.50013638,0.00858885,0.00284200,0.00000423,61232.00000000,0.01243760,0.000000,0.000000
1590192513.60045648,0.00859014,0.00331141,0.00000450,61238.00000000,0.01383474,0.000000,0.000000
1590192513.70029640,0.00859089,0.00262284,0.00000354,61224.00000000,0.01163830,0.000000,0.000000
1590192513.80013657,0.00859126,0.00282366,0.00000349,61238.00000000,0.01008356,0.000000,0.000000
